,Question
112079,"This king had a lot taken off the top January 21, 1793"
50465,"Crowned in Cyprus in May 2000, Bombay U. grad Lara Dutta represented this country"
71223,"Nickname of Sam, leader of The Pharaohs, who sang ""Wolly Bully"""
26234,"Miranda, a young woman, appears in several of her works, including ""Pale Horse, Pale Rider"""
86973,This Delaware senator chairs the Senate Judiciary Committee
127358,"Between 1960 & 1986, he racked up 44 Top 40 hits, but no No. 1s"
148314,"Under the slogan ""Real Estate for the Real World"", this company claims on average to buy or sell a home every minute"
115787,Ebony & Jet are among the magazines launched by this publisher
118519,It's no mystery why this work was Dickens' last; he didn't live to finish it
193578,"Hey, nice to meet <a href=""http://www.j-archive.com/media/2008-04-22_J_08.jpg"" target=""_blank"">this</a> actress who played Jennifer Mancini in 1997; ""Charmed"", I'm sure"
140735,"This company's 1969 jeans seem like they could be found in 1,969 malls"
187273,Morpheus knows it's an array of rows & columns
43907,"A British P.M. gives his blood, toil, tears & sweat as a Louisville horse race track"
67855,"Completed in 2004, the Centennial Bridge, seen <a href=""http://www.j-archive.com/media/2008-07-07_J_17.jpg"" target=""_blank"">here</a>, spans this man-made body of water"
181595,"For the average adult human, the capacity of these is about 3.5 liters"
37670,"Group heard <a href=""http://www.j-archive.com/media/1990-01-26_J_13.mp3"">here</a> who had their 1st No. 1 hit a year before the Beach Boys:  <i>""Two girls for every boy... I've got a '34 wagon...""</i>"
70942,"Ferdinand Marcos, Corazon Aquino, Joseph Estrada"
178224,Wisconsin is bordered by these 2 of the 5 Great Lakes
205859,"If Train A leaves Oamaru at 9 a.m. at 70 MPH & Train B leaves Timaru at 1 p.m. going 80, this will still be New Zealand's capital"
176870,"More than once, Thornton Wilder played the stage manager in a presentation of this, his most popular drama"
193666,"(Cheryl of the Clue Crew)  Hmmm, that picture [of Alex on the wall] is offending my aesthetic sensibilities; it's slightly this, but I'll fix it"
95098,The signing of the U.N. Charter took place in this West Coast city in June 1945
179853,Vaughan Williams is among composers who wrote music for Larry Adler to play on this instrument
36044,Blues-rock singer Bonnie's wooden boxes
65674,Georges Cuvier in 1812 gave this name to the creature seen here
23574,"The last name of this Peter, a British navy man, is on a Columbia River island & a Washington sound"
28620,"""Judgment Day"" was the subtitle to this 1991 movie sequel"
111413,"Legend says the Stuart kings descended from Fleance, son of this ""Macbeth"" victim"
159081,He was Lucky Luciano's right-hand man & the financial mastermind behind the mob
135363,"Now meaning a quick, careless treatment, it was originally a hurry-up penance given to criminals before execution"
40031,"U.S. pilots feared the Soviet-made SAMs, short for these"
80994,"It was created in 1979 but traces its beginnings to 1803, when Congress allocated aid to fire-stricken Portsmouth, N.H."
34111,"Praxiteles sculpted this Greek equivalent of Mercury ""carrying the infant Dionysus"""
206447,"Similar to the omelet, it's eggs scrambled with ham, onion & green pepper, but served between slices of bread"
70043,Iowa senator Chuck Grassley is the chairman of this U.S. Senate committee
143159,The Adelie species of this bird is distinguished by the white spectacle-like ring around each eye
67391,60% Texan enrollment: ERIC
7773,The mission of the Apollo space program of the 1960s & '70s was to land men on this celestial body
15609,"In 1960, this number, the GDP, for the U.S. was $526 billion; in 1970, almost twice that"
20936,The title character in this Verdi opera is a hunchbacked jester
45429,"His pictures of Tahitian women with spirits include ""Manao Tupapau (The Specter Watches Over Her)"""
194135,"George & Martha Washington, on Jan. 6, 1759"
99310,"A 1996 sonata by Lowell Lieberman is for flute & this, also a popular pairing at weddings"
129472,Dennis mined for gold wearing this
176755,"A document headed for this ""file"" is being thrown away"
267,"Mike Eruzione of Winthrop, Mass. was captain of the miraculous 1980 Olympic team in this sport"
214390,"Nabokov's Humbert Humbert called his nymphet ""light of my life, fire of my loins"""
168448,"In titles of John Langley's western novels, this numerical weapon precedes ""Law"", ""Justice"" & ""Feud"""
151630,"Physically sound & healthy, or what a temperamental child might ""throw"""
23148,"For his classic 1968 film, this Italian director cast Leonard Whiting as Romeo"
80525,It's the color of the great horned owl's eyes
162951,Betty Lou Gerson voiced her in 1961; Glenn Close played her in 1996 & 2000
51499,"Any standard of judgment or comparison, even if it's not 36 inches long"
210584,An alliterative '60s nickname for the Beatles
206636,"A current queen, she's Prince Philip's wife"
97122,"Camel Butte & the Mittens are 2 of the mineral sandstone structures that give this AZ./Utah ""valley"" its name"
165669,"""Wherever there is injustice, you will find us"""
101573,He conceived the idea of his revolver pistol by observing a ship's capstan on a voyage to India in 1830
144117,Detection of gamma rays was 1 of the uses for this 1947 instant picture taker
20288,"When checking this at kitty's femoral artery, normally it should be from about 160 to 220"
21140,"In 1967 he told his daughter, ""Your daddy may go down in history as having started World War III"""
98585,This classic dish is known in Chinese as Beijing kao ya
96367,"According to the Mayo Clinic, allergies to these are the USA's most common cause of life-threatening allergic reactions"
203218,The rings of parks around Boston and Cleveland are both described as this expensive piece of jewelry
593,"In a business project, it's the level investors try to ""get in on"""
138579,Pungent ground up armoracia rusticana roots used as a condiment
96341,"Famous ghosts at this London location include Anne Boleyn, Sir Walter Raleigh & 2 young princes murdered here"
10835,Ruth Benedict's study of this country began at the behest of the U.S. Office of War Information in the 1940s
197134,"An unpredictable element, or a team that makes the playoffs without winning its division"
3418,One of NYC's most famous seafood joints is the bar for these bivalves in Grand Central
186445,"Who says ""real men don't eat"" this? Emeril makes one filled with shrimp & cheese & eats it while he's watching football"
112037,"Napoleon wanted to be in Brussels by June 18, 1815 but was stopped by this battle"
150776,"Christmas must be a bummer for you, having this condition & not being able to distinguish between red & green"
144129,"Plays dead to escape predators, but one was close friends with an alligator"
168437,"He published his new ""scale"" in the January 1935 bulletin of the Seismological Society of America"
3462,"Kate Winslet wears a blue diamond necklace called the ""Heart of the Ocean"" in this 1997 film"
27023,"""The Rock"" is the alumni magazine of this California college attended by Richard Nixon"
